date,kpi,value,injected_anomaly,anomaly_iqr,anomaly_zscore,anomaly_any,rolling_mean,rolling_std
2023-01-01,click_rate,0.14033,False,False,False,False,0.14033,
2023-01-02,click_rate,0.134349,False,False,False,False,0.1373395,0.004229205658276751
2023-01-03,click_rate,0.147801,False,False,False,False,0.14082666666666666,0.00673973918882128
2023-01-04,click_rate,0.131252,False,False,False,False,0.138433,0.007293920984856722
2023-01-05,click_rate,0.142479,False,False,False,False,0.1392422,0.006570767512246946
2023-01-06,click_rate,0.135829,False,False,False,False,0.13867333333333334,0.006040003664458045
2023-01-07,click_rate,0.141181,False,False,False,False,0.13903157142857142,0.005594614549044545
2023-01-08,click_rate,0.098023,True,True,False,True,0.1339055,0.015396142077064077
2023-01-09,click_rate,0.135067,False,False,False,False,0.13403455555555555,0.01440697539484877
2023-01-10,click_rate,0.134684,False,False,False,False,0.13409949999999998,0.013584579167816233
2023-01-11,click_rate,0.12939,False,False,False,False,0.13367136363636364,0.012965454880355935
2023-01-12,click_rate,0.140735,False,False,False,False,0.13426000000000002,0.012529119710788655
2023-01-13,click_rate,0.140754,False,False,False,False,0.13475953846153846,0.012130180272192885
2023-01-14,click_rate,0.140436,False,False,False,False,0.135165,0.01175262952573724
2023-01-15,click_rate,0.147616,False,False,False,False,0.13568542857142857,0.012153423839929511
2023-01-16,click_rate,0.147062,False,False,False,False,0.1365935,0.012515437444335569
2023-01-17,click_rate,0.133481,False,False,False,False,0.13557064285714285,0.012107539142757565
2023-01-18,click_rate,0.139191,False,False,False,False,0.13613771428571428,0.01207558529512256
2023-01-19,click_rate,0.131814,False,False,False,False,0.13537592857142858,0.011980802075784447
2023-01-20,click_rate,0.136761,False,False,False,False,0.1354425,0.01198610138548298
2023-01-21,click_rate,0.132181,False,False,False,False,0.13479964285714288,0.011895659936471617
2023-01-22,click_rate,0.148921,False,False,False,False,0.1384352142857143,0.006210632213310565
2023-01-23,click_rate,0.139587,False,False,False,False,0.13875807142857144,0.006139141827578245
2023-01-24,click_rate,0.13531,False,False,False,False,0.1388027857142857,0.006109393513630913
2023-01-25,click_rate,0.145981,False,False,False,False,0.13998785714285714,0.005741117980875279
2023-01-26,click_rate,0.120831,False,False,False,False,0.13856614285714283,0.0076792167855556995
2023-01-27,click_rate,0.122083,False,False,False,False,0.1372325,0.008808307483890951
2023-01-28,click_rate,0.143233,False,False,False,False,0.13743228571428573,0.008917599007913182
2023-01-29,click_rate,0.13779,False,False,False,False,0.13673042857142856,0.008427655534144592
2023-01-30,click_rate,0.139285,False,False,False,False,0.13617492857142857,0.00793625689201428
2023-01-31,click_rate,0.127525,False,False,False,False,0.1357495,0.008245392258710328
2023-02-01,click_rate,0.137363,False,False,False,False,0.13561892857142857,0.00820105617461075
2023-02-02,click_rate,0.152624,False,False,False,False,0.13710535714285713,0.009274064685223763
2023-02-03,click_rate,0.143836,False,False,False,False,0.13761071428571428,0.009445044100793512
2023-02-04,click_rate,0.138981,False,False,False,False,0.1380964285714286,0.0093183366930625
2023-02-05,click_rate,0.134466,False,False,False,False,0.13706392857142857,0.008813852998933747
2023-02-06,click_rate,0.134847,False,False,False,False,0.13672535714285713,0.00880050748193311
2023-02-07,click_rate,0.121882,False,False,False,False,0.13576621428571428,0.009656718507607284
2023-02-08,click_rate,0.139824,False,False,False,False,0.13532642857142857,0.009288929628775956
2023-02-09,click_rate,0.14427,False,False,False,False,0.13700064285714286,0.008558948934456703
2023-02-10,click_rate,0.126145,False,False,False,False,0.1372907857142857,0.008069187559700576
2023-02-11,click_rate,0.133032,False,False,False,False,0.13656214285714285,0.007951041062528993
2023-02-12,click_rate,0.129338,False,False,False,False,0.13595842857142856,0.008168540569340845
2023-02-13,click_rate,0.130802,False,False,False,False,0.13535250000000001,0.008217281515197121
2023-02-14,click_rate,0.138463,False,False,False,False,0.13613378571428572,0.007930797090394586
2023-02-15,click_rate,0.178883,True,True,False,True,0.1390995,0.013924289650435696
2023-02-16,click_rate,0.142697,False,False,False,False,0.13839042857142858,0.013426457529899603
2023-02-17,click_rate,0.143753,False,False,False,False,0.1383845,0.013423886103337758
2023-02-18,click_rate,0.136221,False,False,False,False,0.13818735714285715,0.013434714337274752
2023-02-19,click_rate,0.1195,False,False,False,False,0.13711835714285714,0.014319863302995724
2023-02-20,click_rate,0.130631,False,False,False,False,0.13681721428571428,0.014415316177212733
2023-02-21,click_rate,0.147345,False,False,False,False,0.138636,0.013985925155724891
2023-02-22,click_rate,0.117254,False,False,False,False,0.13702385714285714,0.015095266317915405
2023-02-23,click_rate,0.13547,False,False,False,False,0.1363952857142857,0.01495287033123933
2023-02-24,click_rate,0.129211,False,False,False,False,0.13661428571428572,0.0148129944379852
2023-02-25,click_rate,0.144076,False,False,False,False,0.13740314285714286,0.014901354418860174
2023-02-26,click_rate,0.132956,False,False,False,False,0.13766157142857144,0.014781616132700293
2023-02-27,click_rate,0.141023,False,False,False,False,0.13839164285714284,0.014668736255184894
2023-02-28,click_rate,0.142205,False,False,False,False,0.13865892857142856,0.01470418601029226
2023-03-01,click_rate,0.098857,True,True,False,True,0.13294278571428572,0.013357647387162943
2023-03-02,click_rate,0.136373,False,False,False,False,0.13249107142857142,0.013106993731852245
2023-03-03,click_rate,0.140677,False,False,False,False,0.13227135714285715,0.012928249483545408
2023-03-04,click_rate,0.126677,False,False,False,False,0.13158964285714286,0.012955563471444937
2023-03-05,click_rate,0.146698,False,False,False,False,0.13353235714285713,0.013042154055258649
2023-03-06,click_rate,0.068062,True,True,False,True,0.12906314285714285,0.02185544588657711
2023-03-07,click_rate,0.133465,False,False,False,False,0.1280717142857143,0.02126929117269808
2023-03-08,click_rate,0.13745,False,False,False,False,0.12951428571428572,0.021163776816600068
2023-03-09,click_rate,0.0942,True,True,False,True,0.12656642857142855,0.023059690133064855
2023-03-10,click_rate,0.139218,False,False,False,False,0.1272812142857143,0.023301793688563915
2023-03-11,click_rate,0.144696,False,False,False,False,0.1273255,0.023336730928368663
2023-03-12,click_rate,0.208289,True,True,False,True,0.1327064285714286,0.0318625213225973
2023-03-13,click_rate,0.125393,False,False,False,False,0.13159,0.03182250599811399
2023-03-14,click_rate,0.136313,False,False,False,False,0.13116914285714285,0.03171008497394711
2023-03-15,click_rate,0.142736,False,False,False,False,0.13430335714285715,0.030412642585222416
2023-03-16,click_rate,0.123013,False,False,False,False,0.13334907142857141,0.03055199132743117
2023-03-17,click_rate,0.128962,False,False,False,False,0.13251228571428572,0.030496228236969233
2023-03-18,click_rate,0.14352,False,False,False,False,0.13371535714285715,0.030580429965300325
2023-03-19,click_rate,0.138893,False,False,False,False,0.13315785714285713,0.03039613176517228
2023-03-20,click_rate,0.139877,False,False,False,False,0.13828749999999998,0.023939529112231614
2023-03-21,click_rate,0.150652,False,False,False,False,0.13951514285714287,0.02411325610484868
2023-03-22,click_rate,0.140137,False,False,False,False,0.13970707142857144,0.024106246778869096
2023-03-23,click_rate,0.184626,True,True,False,True,0.14616607142857144,0.023067125790294605
2023-03-24,click_rate,0.156783,False,False,False,False,0.1474207142857143,0.023137723897195612
2023-03-25,click_rate,0.134762,False,False,False,False,0.14671114285714287,0.023378779940717253
2023-03-26,click_rate,0.130294,False,False,False,False,0.1411400714285714,0.015562652391415941
2023-03-27,click_rate,0.139398,False,False,False,False,0.14214042857142858,0.014908966056676133
2023-03-28,click_rate,0.139393,False,False,False,False,0.14236042857142855,0.014838920589575795
2023-03-29,click_rate,0.13206,False,False,False,False,0.14159785714285714,0.015090325218788081
2023-03-30,click_rate,0.128177,False,False,False,False,0.14196671428571428,0.01465802644617288
2023-03-31,click_rate,0.153153,False,False,False,False,0.14369464285714287,0.014431164687829349
2023-04-01,click_rate,0.138189,False,False,False,False,0.14331385714285716,0.014506264746691304
2023-04-02,click_rate,0.130155,False,False,False,False,0.14268971428571428,0.01489390712508137
2023-04-03,click_rate,0.142425,False,False,False,False,0.1428717142857143,0.014872445039419362
2023-04-04,click_rate,0.134646,False,False,False,False,0.1417284285714286,0.014843530518840072
2023-04-05,click_rate,0.133477,False,False,False,False,0.1412527142857143,0.015004307968193535
2023-04-06,click_rate,0.1395,False,False,False,False,0.13802942857142858,0.008334619420172815
2023-04-07,click_rate,0.125504,False,False,False,False,0.1357952142857143,0.007007481619159517
2023-04-08,click_rate,0.137749,False,False,False,False,0.13600857142857142,0.0070190665138090864
2023-04-09,click_rate,0.149362,False,False,False,False,0.13737057142857143,0.007646829123784099
2023-04-10,click_rate,0.138424,False,False,False,False,0.13730099999999998,0.007631379681692879
2023-04-11,click_rate,0.132019,False,False,False,False,0.1367742857142857,0.007729725315336283
2023-04-12,click_rate,0.130952,False,False,False,False,0.13669514285714285,0.00778716560321336
2023-04-13,click_rate,0.206368,True,True,True,True,0.1422802142857143,0.019871443117346416
2023-04-14,click_rate,0.132683,False,False,False,False,0.14081807142857142,0.019762677058864454
2023-04-15,click_rate,0.084361,True,True,False,True,0.1369732142857143,0.024885664990662266
2023-04-16,click_rate,0.141298,False,False,False,False,0.13776914285714287,0.024828951586829028
2023-04-17,click_rate,0.075503,True,True,False,True,0.132989,0.02980668187865577
2023-04-18,click_rate,0.140735,False,False,False,False,0.13342392857142857,0.02987706128959472
2023-04-19,click_rate,0.131348,False,False,False,False,0.13327185714285714,0.029882188146780047
2023-04-20,click_rate,0.13695,False,False,False,False,0.13308971428571428,0.029849058349864704
2023-04-21,click_rate,0.125599,False,False,False,False,0.1330965,0.029847211944914
2023-04-22,click_rate,0.143948,False,False,False,False,0.1335392857142857,0.029967281207827517
2023-04-23,click_rate,0.143259,False,False,False,False,0.13310335714285712,0.029763099695395024
2023-04-24,click_rate,0.14105,False,False,False,False,0.13329092857142857,0.029807452185044894
2023-04-25,click_rate,0.122431,False,False,False,False,0.13260607142857142,0.029948736342840385
2023-04-26,click_rate,0.139951,False,False,False,False,0.13324885714285714,0.03000701982705214
2023-04-27,click_rate,0.136713,False,False,False,False,0.12827349999999998,0.021527279362027404
2023-04-28,click_rate,0.121583,False,False,False,False,0.12748064285714286,0.021556771599330823
2023-04-29,click_rate,0.13339,False,False,False,False,0.13098271428571426,0.017639424953249473
2023-04-30,click_rate,0.136258,False,False,False,False,0.1306227142857143,0.017463258540008113
